Food,Calories,Protein,Carbs,Fat,Fiber,Fruit/Veg,Price,Lower Bound,Upper Bound
Chicken Breast,165,31,0,3.6,0,0,1.6,0,100
Cucumber,16,0.7,3.6,0.1,0.5,1,0.5,0,2
Brown Rice,111,2.6,23,0.9,1.8,0,0.6,0,100
Olive Oil,884,0,0,100,0,0,100.0,0,100
Nuts,607,20,21,54,7,0,20.0,0,100
Carrot,41,0.9,10,0.2,2.8,1,1.0,0,2
Spinach,23,0,0,0,2.2,1,4.0,0,2
Ground Beef,132,20,0.6,4.8,0,0,2.4,0,100
Bell Pepper (green),26,0,0,0,2.6,1,1.3,0,2
Shitake,34,2.2,7,0.5,0,0,100.0,0,2
Wey,104,22,4.5,0.7,0,0,3.0,0,1
Egg,78,6,0,5,0,0,1.0,0,2
Lettuce,15,1.4,0,0,1.3,1,4.0,0,100
Banana,85,1.1,22,0,1.8,1,1.0,0,2
Apple,53,0,12,0,2.1,1,1.0,0,2
Sweet Potato,90,2,20,0,3.3,0,0.5,0,100
Tomato,18,0,3.9,0,1.2,1,1.1,0,2
Cabbage,25,0,6,0,2.5,1,0.7,0,2
Corn,98,3.2,17.1,2.4,4.6,1,0.8,0,2
Chick Peas,364,19,61,6,17,0,2.6,0,100
Yam,118,1.5,28,0,4.1,0,0.3,0,100
Pork Shoulder,269,23,0,19,0,0,2.13,0,100
Ribeye Steak,248,42,.45,41,0,0,7.9,0,100
